ko_id	median_expression_rank	genomes_w_ko	genomes_w_motif	genomes_w_str_motif	percent_genomes_w_ko	avg_motifs_100aa_gc	avg_str_motifs_100aa_gc	a_level	b_level	c_level	description
K02613	1356	988	73.98785425	37.85425101	30.38130381	0.007633921	0.003551192	Metabolism	Amino acid metabolism	Phenylalanine metabolism	"paaE; ring-1,2-phenylacetyl-CoA epoxidase subunit PaaE"
K02614	2260	1019	9.813542689	3.532875368	31.33456335	0.003899514	0.001517805	Metabolism	Amino acid metabolism	Phenylalanine metabolism	paaI; acyl-CoA thioesterase
K02619	2441	1297	50.73245952	19.9691596	39.88314883	0.009549823	0.003091027	Metabolism	Metabolism of cofactors and vitamins	Folate biosynthesis	pabC; 4-amino-4-deoxychorismate lyase
K02621	649.25	1985	81.71284635	28.01007557	61.03936039	0.00261132	0.000627205	Genetic Information Processing	DNA replication proteins	DNA replication proteins	parC; topoisomerase IV subunit A
K02622	551	1997	78.56785178	4.556835253	61.40836408	0.002128649	0.000102661	Genetic Information Processing	DNA replication proteins	DNA replication proteins	parE; topoisomerase IV subunit B
K02650	1974	845	18.57988166	8.402366864	25.98400984	0.007385348	0.002731186	Environmental Information Processing	Signal transduction	Two-component system	pilA; type IV pilus assembly protein PilA
K02652	1050	1330	60	21.27819549	40.89790898	0.002598163	0.000854679	Environmental Information Processing	Membrane transport	Bacterial secretion system	pilB; type IV pilus assembly protein PilB
K02653	1125	1406	47.72403983	3.342816501	43.23493235	0.003317764	0.000175305	Environmental Information Processing	Membrane transport	Bacterial secretion system	pilC; type IV pilus assembly protein PilC
K02654	2060	1923	45.50182007	24.2849714	59.13284133	0.007539596	0.003781471	Metabolism	Peptidases and inhibitors	Peptidases and inhibitors	"pilD, pppA; leader peptidase (prepilin peptidase) / N-methyltransferase"
K02662	1770.5	1089	46.09733701	10.74380165	33.48708487	0.004147902	0.000853747	Environmental Information Processing	Membrane transport	Bacterial secretion system	pilM; type IV pilus assembly protein PilM
K02666	1460	831	64.98194946	36.82310469	25.55350554	0.003024525	0.001423805	Environmental Information Processing	Membrane transport	Bacterial secretion system	pilQ; type IV pilus assembly protein PilQ
K02669	804	1403	86.24376336	19.24447612	43.14268143	0.011403591	0.002331058	Environmental Information Processing	Membrane transport	Bacterial secretion system	pilT; twitching motility protein PilT
K02687	1601	2511	31.02349661	13.62007168	77.21402214	0.004454743	0.001718364	Genetic Information Processing	Ribosome biogenesis	Ribosome biogenesis	prmA; ribosomal protein L11 methyltransferase
K02770	837	899	90.54505006	10.6785317	27.64452645	0.003818616	0.000278476	Metabolism	Carbohydrate metabolism	Fructose and mannose metabolism	fruA; fructose PTS system EIIBC or EIIC component
K02806	2327	1342	17.06408346	2.682563338	41.26691267	0.005007275	0.000788122	Environmental Information Processing	Membrane transport	Phosphotransferase system (PTS)	ptsN; nitrogen PTS system EIIA component
K02823	1596	941	48.99043571	8.076514346	28.93603936	0.008488472	0.001247307	Metabolism	Nucleotide metabolism	Pyrimidine metabolism	pyrDII; dihydroorotate dehydrogenase electron transfer subunit
K02824	939	980	94.79591837	54.48979592	30.13530135	0.009486394	0.003042462	Environmental Information Processing	Membrane transport	ABC transporters	"uraA, pyrP; uracil permease"
K02825	1679	1922	19.1987513	6.711758585	59.10209102	0.004618894	0.001505526	Metabolism	Nucleotide metabolism	Pyrimidine metabolism	pyrR; pyrimidine operon attenuation protein / uracil phosphoribosyltransferase
K02834	1395	3237	8.032128514	3.058387396	99.53874539	0.004716477	0.001681426	Genetic Information Processing	Ribosome biogenesis	Ribosome biogenesis	rbfA; ribosome-binding factor A
K02835	527.5	3249	3.78578024	2.216066482	99.90774908	0.000267729	0.000151932	Genetic Information Processing	Translation factors	Translation factors	"prfA, MTRF1, MRF1; peptide chain release factor 1"
K02836	420	3217	2.113770594	0.963630712	98.92373924	0.000158594	7.57E-05	Genetic Information Processing	Translation factors	Translation factors	prfB; peptide chain release factor 2
K02837	548	2388	44.639866	24.58123953	73.43173432	0.00240139	0.001407069	Genetic Information Processing	Translation factors	Translation factors	prfC; peptide chain release factor 3
K02838	262	3250	33.72307692	0.769230769	99.93849938	0.010715857	0.000212065	Genetic Information Processing	Translation factors	Translation factors	"frr, MRRF, RRF; ribosome recycling factor"
K02843	2050	873	69.30126002	20.04581901	26.84501845	0.007808606	0.001743155	Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis	"waaF, rfaF; heptosyltransferase II"
K02851	1442	1410	37.44680851	7.092198582	43.35793358	0.002615286	0.000421052	Metabolism	Glycan biosynthesis and metabolism	Arabinogalactan biosynthesis - Mycobacterium	"wecA, tagO, rfe; UDP-GlcNAc:undecaprenyl-phosphate/decaprenyl-phosphate GlcNAc-1-phosphate transferase"
K02860	1786.5	3140	43.21656051	27.7388535	96.55596556	0.01557864	0.00889042	Genetic Information Processing	Ribosome biogenesis	Ribosome biogenesis	rimM; 16S rRNA processing protein RimM
K02863	118	3251	2.891418025	0.645955091	99.96924969	0.000559231	0.000107741	Genetic Information Processing	Translation	Ribosome	"RP-L1, MRPL1, rplA; large subunit ribosomal protein L1"
K02864	687	3241	3.517432891	0.339401419	99.66174662	0.001256564	8.11E-05	Genetic Information Processing	Translation	Ribosome	"RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10"
K02867	431	3247	98.61410533	47.27440715	99.84624846	0.093488931	0.022208091	Genetic Information Processing	Translation	Ribosome	"RP-L11, MRPL11, rplK; large subunit ribosomal protein L11"
K02871	285	3248	1.169950739	0.123152709	99.87699877	0.000490522	4.18E-05	Genetic Information Processing	Translation	Ribosome	"RP-L13, MRPL13, rplM; large subunit ribosomal protein L13"
K02874	517.5	3242	0.061690315	NA	99.69249692	3.42E-05	0	Genetic Information Processing	Translation	Ribosome	"RP-L14, MRPL14, rplN; large subunit ribosomal protein L14"
K02876	189	3229	1.207804274	0.309693404	99.29274293	0.000450159	0.000119711	Genetic Information Processing	Translation	Ribosome	"RP-L15, MRPL15, rplO; large subunit ribosomal protein L15"
K02878	294	3235	2.380216383	1.112828439	99.47724477	0.000995927	0.000509195	Genetic Information Processing	Translation	Ribosome	"RP-L16, MRPL16, rplP; large subunit ribosomal protein L16"
K02879	209	3230	1.857585139	0.340557276	99.32349323	0.000527989	0.000101296	Genetic Information Processing	Translation	Ribosome	"RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17"
K02881	680	3233	0.092793071	NA	99.41574416	4.72E-05	0	Genetic Information Processing	Translation	Ribosome	"RP-L18, MRPL18, rplR; large subunit ribosomal protein L18"
K02884	113	3245	1.633281972	0.123266564	99.78474785	0.000911338	4.69E-05	Genetic Information Processing	Translation	Ribosome	"RP-L19, MRPL19, rplS; large subunit ribosomal protein L19"
K02886	184	3246	2.433764633	0.770178681	99.81549815	0.000277706	8.86E-05	Genetic Information Processing	Translation	Ribosome	"RP-L2, MRPL2, rplB; large subunit ribosomal protein L2"
K02887	277	3245	0.123266564	NA	99.78474785	6.20E-05	0	Genetic Information Processing	Translation	Ribosome	"RP-L20, MRPL20, rplT; large subunit ribosomal protein L20"
K02888	247.5	3231	0.835654596	0.123800681	99.35424354	0.000336428	0.00012477	Genetic Information Processing	Translation	Ribosome	"RP-L21, MRPL21, rplU; large subunit ribosomal protein L21"
K02890	796	3234	0.463821892	0.061842919	99.44649446	0.000270547	2.30E-05	Genetic Information Processing	Translation	Ribosome	"RP-L22, MRPL22, rplV; large subunit ribosomal protein L22"
K02892	522	3247	1.50908531	0.092392978	99.84624846	0.001447446	0.000121334	Genetic Information Processing	Translation	Ribosome	"RP-L23, MRPL23, rplW; large subunit ribosomal protein L23"
K02895	241	3243	0.709219858	0.493370336	99.72324723	0.000252023	5.90E-05	Genetic Information Processing	Translation	Ribosome	"RP-L24, MRPL24, rplX; large subunit ribosomal protein L24"
K02897	241	2978	14.3384822	4.063129617	91.57441574	0.003255704	0.000871293	Genetic Information Processing	Translation	Ribosome	"RP-L25, rplY; large subunit ribosomal protein L25"
K02899	341	3247	0.554357869	0.092392978	99.84624846	0.000544438	0.000100218	Genetic Information Processing	Translation	Ribosome	"RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27"
K02902	932.5	3220	0.434782609	0.093167702	99.01599016	0.000242149	3.83E-05	Genetic Information Processing	Translation	Ribosome	"RP-L28, MRPL28, rpmB; large subunit ribosomal protein L28"
K02904	1174	3227	0.619770685	NA	99.23124231	0.001076684	0	Genetic Information Processing	Translation	Ribosome	"RP-L29, rpmC; large subunit ribosomal protein L29"
K02906	284	3244	1.695437731	0.739827374	99.75399754	0.000358056	0.00011485	Genetic Information Processing	Translation	Ribosome	"RP-L3, MRPL3, rplC; large subunit ribosomal protein L3"
K02907	1613	2981	0.36900369	0.13418316	91.66666667	0.000703587	0.000148025	Genetic Information Processing	Translation	Ribosome	"RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30"
K02909	1297	3228	0.588599752	0.092936803	99.26199262	0.000772206	9.00E-05	Genetic Information Processing	Translation	Ribosome	"RP-L31, rpmE; large subunit ribosomal protein L31"
K02911	1731	3180	5.786163522	0.534591195	97.78597786	0.013273876	0.001295524	Genetic Information Processing	Translation	Ribosome	"RP-L32, MRPL32, rpmF; large subunit ribosomal protein L32"
K02913	1683	3114	0.353243417	0.096339114	95.75645756	0.001053004	0.000244582	Genetic Information Processing	Translation	Ribosome	"RP-L33, MRPL33, rpmG; large subunit ribosomal protein L33"
K02914	1697.75	2657	0.225818592	0.112909296	81.70356704	0.000622248	0.000314276	Genetic Information Processing	Translation	Ribosome	"RP-L34, MRPL34, rpmH; large subunit ribosomal protein L34"
K02916	418	3225	0.031007752	NA	99.1697417	3.91E-05	0	Genetic Information Processing	Translation	Ribosome	"RP-L35, MRPL35, rpmI; large subunit ribosomal protein L35"
K02919	2421.5	2458	0.122050448	NA	75.58425584	0.000328924	0	Genetic Information Processing	Translation	Ribosome	"RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36"
K02926	304	3245	1.171032357	0.154083205	99.78474785	0.000181661	1.78E-05	Genetic Information Processing	Translation	Ribosome	"RP-L4, MRPL4, rplD; large subunit ribosomal protein L4"
K02931	207	3246	0.770178681	0.215650031	99.81549815	0.00016184	3.50E-05	Genetic Information Processing	Translation	Ribosome	"RP-L5, MRPL5, rplE; large subunit ribosomal protein L5"
K02933	259	3247	41.33045889	34.52417616	99.84624846	0.013736052	0.011337464	Genetic Information Processing	Translation	Ribosome	"RP-L6, MRPL6, rplF; large subunit ribosomal protein L6"
K02935	22	3248	0.431034483	0.123152709	99.87699877	0.000302842	6.98E-05	Genetic Information Processing	Translation	Ribosome	"RP-L7, MRPL12, rplL; large subunit ribosomal protein L7/L12"
K02939	142.5	3232	0.587871287	0.185643564	99.38499385	0.000180657	5.03E-05	Genetic Information Processing	Translation	Ribosome	"RP-L9, MRPL9, rplI; large subunit ribosomal protein L9"
K02945	36	3069	10.9807755	5.702183122	94.37269373	0.00069105	0.000343454	Genetic Information Processing	Translation	Ribosome	"RP-S1, rpsA; small subunit ribosomal protein S1"
K02946	536	3242	0.215916101	0.154225787	99.69249692	0.000214542	0.000138862	Genetic Information Processing	Translation	Ribosome	"RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10"
K02948	228.5	3211	81.25194643	0.311429461	98.73923739	0.049412634	0.000205346	Genetic Information Processing	Translation	Ribosome	"RP-S11, MRPS11, rpsK; small subunit ribosomal protein S11"
K02950	193	3226	0.526968382	0.402975821	99.200492	0.000263133	0.000205152	Genetic Information Processing	Translation	Ribosome	"RP-S12, MRPS12, rpsL; small subunit ribosomal protein S12"
K02952	221.5	3230	3.684210526	0.371517028	99.32349323	0.002087591	0.000195999	Genetic Information Processing	Translation	Ribosome	"RP-S13, rpsM; small subunit ribosomal protein S13"
K02954	954.5	3141	1.209805794	0.031836995	96.58671587	0.002164676	2.12E-05	Genetic Information Processing	Translation	Ribosome	"RP-S14, MRPS14, rpsN; small subunit ribosomal protein S14"
K02956	334	3244	0.092478422	0.030826141	99.75399754	9.18E-05	3.64E-05	Genetic Information Processing	Translation	Ribosome	"RP-S15, MRPS15, rpsO; small subunit ribosomal protein S15"
K02959	154	3233	3.40241262	2.134240643	99.41574416	0.00227279	0.001429551	Genetic Information Processing	Translation	Ribosome	"RP-S16, MRPS16, rpsP; small subunit ribosomal protein S16"
K02961	278	3228	1.208178439	0.185873606	99.26199262	0.001302062	0.00014424	Genetic Information Processing	Translation	Ribosome	"RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17"
K02963	476	3233	7.763686978	1.175378905	99.41574416	0.010445483	0.001769627	Genetic Information Processing	Translation	Ribosome	"RP-S18, MRPS18, rpsR; small subunit ribosomal protein S18"
K02965	842	3246	0.369685767	0.061614295	99.81549815	0.000445763	7.24E-05	Genetic Information Processing	Translation	Ribosome	"RP-S19, rpsS; small subunit ribosomal protein S19"
K02967	63	3248	3.756157635	1.570197044	99.87699877	0.000440443	0.000180261	Genetic Information Processing	Translation	Ribosome	"RP-S2, MRPS2, rpsB; small subunit ribosomal protein S2"
K02968	267	3217	0.155424308	0.062169723	98.92373924	0.000112046	3.96E-05	Genetic Information Processing	Translation	Ribosome	"RP-S20, rpsT; small subunit ribosomal protein S20"
K02970	532	2529	5.298536971	0.355871886	77.76752768	0.008123054	0.000418052	Genetic Information Processing	Translation	Ribosome	"RP-S21, MRPS21, rpsU; small subunit ribosomal protein S21"
K02982	221.5	3246	3.912507702	0.67775724	99.81549815	0.000585004	0.000156271	Genetic Information Processing	Translation	Ribosome	"RP-S3, rpsC; small subunit ribosomal protein S3"
K02986	195	3247	39.02063443	28.45703727	99.84624846	0.010004289	0.007047368	Genetic Information Processing	Translation	Ribosome	"RP-S4, rpsD; small subunit ribosomal protein S4"
K02988	238	3242	4.194941394	3.516347933	99.69249692	0.000889987	0.000738342	Genetic Information Processing	Translation	Ribosome	"RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5"
K02990	267	3228	4.894671623	1.827757125	99.26199262	0.002663351	0.000824132	Genetic Information Processing	Translation	Ribosome	"RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6"
K02992	234.5	3246	3.943314849	2.24892175	99.81549815	0.0018374	0.000939328	Genetic Information Processing	Translation	Ribosome	"RP-S7, MRPS7, rpsG; small subunit ribosomal protein S7"
K02994	658	3247	0.369571913	0.061595319	99.84624846	0.000194839	3.11E-05	Genetic Information Processing	Translation	Ribosome	"RP-S8, rpsH; small subunit ribosomal protein S8"
K02996	163	3251	2.583820363	0.307597662	99.96924969	0.000881167	9.47E-05	Genetic Information Processing	Translation	Ribosome	"RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9"
K03040	297	3244	55.5487053	27.40443896	99.75399754	0.004971245	0.002112944	Genetic Information Processing	Transcription	RNA polymerase	rpoA; DNA-directed RNA polymerase subunit alpha
K03043	111.5	3243	89.97841505	31.69904409	99.72324723	0.001189222	0.000288127	Genetic Information Processing	Transcription	RNA polymerase	rpoB; DNA-directed RNA polymerase subunit beta
K03046	74	3245	99.3220339	75.77812018	99.78474785	0.00082303	0.000505291	Genetic Information Processing	Transcription	RNA polymerase	rpoC; DNA-directed RNA polymerase subunit beta'
K03060	1168	2693	31.52617898	10.62012625	82.81057811	0.030727012	0.009047916	Genetic Information Processing	Transcription	RNA polymerase	rpoZ; DNA-directed RNA polymerase subunit omega
K03070	231	3242	51.54225787	26.31091919	99.69249692	0.000841416	0.000347581	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	secA; preprotein translocase subunit SecA
K03071	504	1318	67.45068285	4.40060698	40.52890529	0.027290469	0.001744627	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	secB; preprotein translocase subunit SecB
K03072	712	2149	42.2987436	24.8022336	66.08241082	0.001949078	0.000970598	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	secD; preprotein translocase subunit SecD
K03073	2174	3128	2.525575448	0.351662404	96.18696187	0.003309805	0.000194745	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	secE; preprotein translocase subunit SecE
K03074	554	2144	18.47014925	4.664179104	65.92865929	0.001828615	0.000554312	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	secF; preprotein translocase subunit SecF
K03075	2035.5	3185	16.35792779	5.996860283	97.9397294	0.012785114	0.003819191	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	secG; preprotein translocase subunit SecG
K03076	835	3249	37.39612188	1.723607264	99.90774908	0.001933027	8.54E-05	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	secY; preprotein translocase subunit SecY
K03086	334	3241	41.03671706	19.74699167	99.66174662	0.002415	0.001460851	Genetic Information Processing	Transcription machinery	Transcription machinery	rpoD; RNA polymerase primary sigma factor
K03088	2841	2975	74.1512605	47.46218487	91.48216482	0.007481126	0.002574683	Genetic Information Processing	Transcription machinery	Transcription machinery	"rpoE; RNA polymerase sigma-70 factor, ECF subfamily"
K03089	698	1330	11.35338346	4.962406015	40.89790898	0.0008539	0.000370204	Genetic Information Processing	Transcription machinery	Transcription machinery	rpoH; RNA polymerase sigma-32 factor
K03092	1403	2156	52.27272727	41.41929499	66.29766298	0.003245784	0.002002562	Environmental Information Processing	Signal transduction	Two-component system	rpoN; RNA polymerase sigma-54 factor
K03100	1416	3206	52.1522146	33.06300686	98.58548585	0.010557481	0.005525535	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	lepB; signal peptidase I
K03101	1874	3214	23.83322962	9.427504667	98.83148831	0.007159031	0.002291158	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	lspA; signal peptidase II
K03106	338	3237	65.89434662	6.178560395	99.53874539	0.003967108	0.000267248	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	"SRP54, ffh; signal recognition particle subunit SRP54"
K03110	914	3210	37.35202492	23.92523364	98.70848708	0.005189537	0.002800238	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	ftsY; fused signal recognition particle receptor
K03111	1152	3247	40.00615953	15.79919926	99.84624846	0.012691449	0.004741566	Genetic Information Processing	Replication and repair	DNA replication	ssb; single-strand DNA-binding protein
K03113	1425	873	22.10767468	3.665521191	26.84501845	0.0200843	0.003264078	Genetic Information Processing	Translation	RNA transport	"EIF1, SUI1; translation initiation factor 1"
K03116	1752.5	2790	19.92831541	9.211469534	85.79335793	0.026153805	0.011603575	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	tatA; sec-independent protein translocase protein TatA
K03117	2251	1902	49.05362776	25.39432177	58.48708487	0.031874407	0.01408562	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	tatB; sec-independent protein translocase protein TatB
K03118	1214.5	2811	73.17680541	7.684098186	86.43911439	0.011957024	0.001142011	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	tatC; sec-independent protein translocase protein TatC
K03147	546.5	1995	40.85213033	3.157894737	61.34686347	0.00116555	0.000100056	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	thiC; phosphomethylpyrimidine synthase
K03149	1522	2091	19.89478718	5.882352941	64.29889299	0.002293953	0.000677869	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	thiG; thiazole synthase
K03151	746	909	48.84488449	11.22112211	27.95202952	0.004262595	0.000770805	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	thiI; tRNA uracil 4-sulfurtransferase
K03153	2557.75	1203	49.87531172	27.01579385	36.99261993	0.004431698	0.002027367	Metabolism	Metabolism of cofactors and vitamins	Thiamine metabolism	thiO; glycine oxidase
K03154	2748	2013	8.24639841	1.987083954	61.900369	0.013950306	0.003152335	Genetic Information Processing	"Folding, sorting and degradation"	Sulfur relay system	thiS; sulfur carrier protein
K03168	602	3082	98.02076574	71.51200519	94.77244772	0.005160202	0.001971738	Genetic Information Processing	DNA replication proteins	DNA replication proteins	topA; DNA topoisomerase I
K03169	1040	1210	98.18181818	42.72727273	37.20787208	0.004586485	0.001113253	Genetic Information Processing	DNA replication proteins	DNA replication proteins	topB; DNA topoisomerase III
K03177	1717	3221	81.74479975	15.33685191	99.04674047	0.013030796	0.002031954	Genetic Information Processing	Transfer RNA biogenesis	Transfer RNA biogenesis	"truB, PUS4, TRUB1; tRNA pseudouridine55 synthase"
K03179	1954.5	2196	32.96903461	9.289617486	67.52767528	0.003535797	0.000842874	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis	ubiA; 4-hydroxybenzoate polyprenyltransferase
K03182	1125	1249	99.51961569	76.22097678	38.40713407	0.0093648	0.003380651	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis	ubiD; 4-hydroxy-3-polyprenylbenzoate decarboxylase
K03183	1284	2844	27.60196906	5.977496484	87.45387454	0.004536219	0.001165544	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis	"ubiE; demethylmenaquinone methyltransferase / 2-methoxy-6-polyprenyl-1,4-benzoquinol methylase"
K03185	2076	1212	65.75907591	26.73267327	37.26937269	0.004515974	0.001202443	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis	ubiH; 2-octaprenyl-6-methoxyphenol hydroxylase
K03186	2171	1360	63.08823529	15.73529412	41.8204182	0.016904841	0.003593439	Metabolism	Metabolism of cofactors and vitamins	Ubiquinone and other terpenoid-quinone biosynthesis	"ubiX, bsdB, PAD1; flavin prenyltransferase"
K03187	2125	898	14.81069042	4.454342984	27.61377614	0.00427074	0.001486845	Genetic Information Processing	Protein processing	Protein processing	ureE; urease accessory protein
K03188	3094.5	1162	23.83820998	8.605851979	35.73185732	0.003818676	0.001292151	Genetic Information Processing	Protein processing	Protein processing	ureF; urease accessory protein
K03189	1462	1163	20.46431642	1.977644024	35.76260763	0.003733378	0.000367869	Genetic Information Processing	Protein processing	Protein processing	ureG; urease accessory protein
K03190	2920.5	1153	55.4206418	36.07979185	35.45510455	0.007448192	0.003714683	Genetic Information Processing	Protein processing	Protein processing	"ureD, ureH; urease accessory protein"
K03210	852	3019	7.320304737	3.014243127	92.83517835	0.005632713	0.002495871	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	yajC; preprotein translocase subunit YajC
K03215	1397	2500	94.96	55.24	76.87576876	0.008918262	0.003421318	Genetic Information Processing	Ribosome biogenesis	Ribosome biogenesis	rumA; 23S rRNA (uracil1939-C5)-methyltransferase
K03216	1878.5	2218	42.38052299	36.29395852	68.20418204	0.018852797	0.013264582	Genetic Information Processing	Transfer RNA biogenesis	Transfer RNA biogenesis	"trmL, cspR; tRNA (cytidine/uridine-2'-O-)-methyltransferase"
K03217	629.5	3236	50.21631644	23.48578492	99.50799508	0.003367427	0.001380882	Genetic Information Processing	"Folding, sorting and degradation"	Protein export	"yidC, spoIIIJ, OXA1, ccfA; YidC/Oxa1 family membrane protein insertase"
K03218	1453	3177	39.09348442	9.631728045	97.69372694	0.005046092	0.001184381	Genetic Information Processing	Ribosome biogenesis	Ribosome biogenesis	rlmB; 23S rRNA (guanosine2251-2'-O)-methyltransferase
K03269	1728.5	1135	19.030837	5.9030837	34.90159902	0.003396394	0.000932698	Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis	"lpxH; UDP-2,3-diacylglucosamine hydrolase"
K03270	1347.5	1339	12.99477222	3.360716953	41.17466175	0.00373857	0.000785935	Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis	kdsC; 3-deoxy-D-manno-octulosonate 8-phosphate phosphatase (KDO 8-P phosphatase)
K03271	1846	1368	16.37426901	2.850877193	42.06642066	0.002895024	0.00048045	Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis	"gmhA, lpcA; D-sedoheptulose 7-phosphate isomerase"
K03273	2137.5	1201	18.56786012	5.32889259	36.93111931	0.004600677	0.001091521	Metabolism	Glycan biosynthesis and metabolism	Lipopolysaccharide biosynthesis	"gmhB; D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase"
K03281	1835	1337	66.79132386	24.45774121	41.11316113	0.003059734	0.000799807	Environmental Information Processing	Membrane transport	Transport	"TC.CIC; chloride channel protein, CIC family"
K03282	1032	2432	51.43914474	26.11019737	74.78474785	0.039944151	0.019404608	Environmental Information Processing	Membrane transport	ABC transporters	mscL; large conductance mechanosensitive channel
K03284	1027	2470	53.56275304	12.46963563	75.95325953	0.00439053	0.000896657	Environmental Information Processing	Membrane transport	ABC transporters	corA; magnesium transporter
K03286	976	1210	50.08264463	36.7768595	37.20787208	0.009764241	0.006858749	Environmental Information Processing	Membrane transport	ABC transporters	"TC.OOP; OmpA-OmpF porin, OOP family"
K03294	1282.5	1472	56.86141304	26.5625	45.26445264	0.002180068	0.000694424	Environmental Information Processing	Membrane transport	Transport	"TC.APA; basic amino acid/polyamine antiporter, APA family"
K03296	922	2074	83.84763742	56.99132112	63.77613776	0.001910029	0.000656171	Environmental Information Processing	Membrane transport	Transport	"TC.HAE1; hydrophobic/amphiphilic exporter-1 (mainly G- bacteria), HAE1 family"
K03297	2285	1220	3.852459016	0.737704918	37.51537515	0.001944226	0.00034941	Environmental Information Processing	Membrane transport	ABC transporters	"emrE, qac, mmr, smr; small multidrug resistance pump"
K03299	1137.25	1029	94.55782313	17.49271137	31.64206642	0.005979845	0.000555678	Environmental Information Processing	Membrane transport	ABC transporters	"TC.GNTP; gluconate:H+ symporter, GntP family"
K03303	1111	936	54.91452991	10.68376068	28.78228782	0.002182079	0.0003042	Environmental Information Processing	Membrane transport	ABC transporters	lctP; lactate permease
K03305	980.5	1277	54.26781519	24.11902897	39.26814268	0.002190737	0.00071155	Environmental Information Processing	Membrane transport	Transport	"TC.POT; proton-dependent oligopeptide transporter, POT family"
K03306	1176	1987	38.55057876	19.32561651	61.10086101	0.00257405	0.000971349	Environmental Information Processing	Membrane transport	Transport	"TC.PIT; inorganic phosphate transporter, PiT family"
K03307	1187	1548	49.54780362	18.02325581	47.60147601	0.001833837	0.000435725	Environmental Information Processing	Membrane transport	Transport	"TC.SSS; solute:Na+ symporter, SSS family"
K03308	993.5	1150	26.08695652	10.26086957	35.36285363	0.000785009	0.000288523	Environmental Information Processing	Membrane transport	Transport	"TC.NSS; neurotransmitter:Na+ symporter, NSS family"
K03310	912	1678	37.3659118	21.87127533	51.59901599	0.001156967	0.000597674	Environmental Information Processing	Membrane transport	Transport	"TC.AGCS; alanine or glycine:cation symporter, AGCS family"
K03313	1871	1454	35.28198074	12.17331499	44.71094711	0.001920752	0.000579003	Environmental Information Processing	Membrane transport	ABC transporters	"nhaA; Na+:H+ antiporter, NhaA family"
K03316	1653	1571	74.5385105	37.11012094	48.30873309	0.004573792	0.001128377	Environmental Information Processing	Membrane transport	Transport	"TC.CPA1; monovalent cation:H+ antiporter, CPA1 family"
K03317	1101	925	24.21621622	6.918918919	28.44403444	0.001492716	0.000345006	Environmental Information Processing	Membrane transport	Transport	"TC.CNT; concentrative nucleoside transporter, CNT family"
K03320	829	2756	32.83744557	12.11901306	84.74784748	0.001265157	0.000420221	Environmental Information Processing	Membrane transport	ABC transporters	"amt, AMT, MEP; ammonium transporter, Amt family"
K03321	1500	2341	60.4015378	19.05168731	71.98646986	0.002345067	0.000533282	Environmental Information Processing	Membrane transport	ABC transporters	"TC.SULP; sulfate permease, SulP family"
K03322	1532.5	1061	41.65881244	21.77191329	32.62607626	0.00238672	0.001087294	Environmental Information Processing	Membrane transport	ABC transporters	mntH; manganese transport protein
K03324	1453	1315	31.63498099	13.84030418	40.43665437	0.001131264	0.00039847	Environmental Information Processing	Membrane transport	ABC transporters	yjbB; phosphate:Na+ symporter
K03325	1579	1680	39.64285714	4.821428571	51.66051661	0.004922722	0.000306378	Environmental Information Processing	Membrane transport	ABC transporters	"ACR3, arsB; arsenite transporter"
